nu,CH4/x=1.700e-06/T=253.000K/P=0.350atm/L=6000000.000cm
1100.000000,0.000000
1100.010000,0.000080
1100.020000,0.000054
1100.030000,0.000038
1100.040000,0.000029
1100.050000,0.000025
1100.060000,0.000022
1100.070000,0.000021
1100.080000,0.000020
1100.090000,0.000019
1100.100000,0.000019
1100.110000,0.000019
1100.120000,0.000020
1100.130000,0.000020
1100.140000,0.000020
1100.150000,0.000021
1100.160000,0.000021
1100.170000,0.000022
1100.180000,0.000022
1100.190000,0.000022
1100.200000,0.000023
1100.210000,0.000023
1100.220000,0.000024
1100.230000,0.000025
1100.240000,0.000028
1100.250000,0.000032
1100.260000,0.000040
1100.270000,0.000050
1100.280000,0.000048
1100.290000,0.000038
1100.300000,0.000033
1100.310000,0.000031
1100.320000,0.000031
1100.330000,0.000033
1100.340000,0.000034
1100.350000,0.000033
1100.360000,0.000033
1100.370000,0.000033
1100.380000,0.000034
1100.390000,0.000035
1100.400000,0.000037
1100.410000,0.000039
1100.420000,0.000041
1100.430000,0.000044
1100.440000,0.000047
1100.450000,0.000050
1100.460000,0.000053
1100.470000,0.000057
1100.480000,0.000061
1100.490000,0.000066
1100.500000,0.000072
1100.510000,0.000079
1100.520000,0.000088
1100.530000,0.000099
1100.540000,0.000111
1100.550000,0.000127
1100.560000,0.000146
1100.570000,0.000170
1100.580000,0.000203
1100.590000,0.000247
1100.600000,0.000308
1100.610000,0.000397
1100.620000,0.000533
1100.630000,0.000752
1100.640000,0.001125
1100.650000,0.001780
1100.660000,0.002806
1100.670000,0.003628
1100.680000,0.003124
1100.690000,0.002085
1100.700000,0.001400
1100.710000,0.001075
1100.720000,0.001014
1100.730000,0.001202
1100.740000,0.001470
1100.750000,0.001248
1100.760000,0.000812
1100.770000,0.000542
1100.780000,0.000400
1100.790000,0.000322
1100.800000,0.000280
1100.810000,0.000258
1100.820000,0.000251
1100.830000,0.000257
1100.840000,0.000277
1100.850000,0.000313
1100.860000,0.000375
1100.870000,0.000475
1100.880000,0.000642
1100.890000,0.000926
1100.900000,0.001414
1100.910000,0.002139
1100.920000,0.002661
1100.930000,0.002295
1100.940000,0.001574
1100.950000,0.001056
1100.960000,0.000723
1100.970000,0.000515
1100.980000,0.000391
1100.990000,0.000319
1101.000000,0.000281
1101.010000,0.000256
1101.020000,0.000254
1101.030000,0.000310
1101.040000,0.000530
1101.050000,0.001053
1101.060000,0.000699
1101.070000,0.000332
1101.080000,0.000215
1101.090000,0.000161
1101.100000,0.000126
1101.110000,0.000106
1101.120000,0.000093
1101.130000,0.000084
1101.140000,0.000077
1101.150000,0.000073
1101.160000,0.000069
1101.170000,0.000065
1101.180000,0.000063
1101.190000,0.000060
1101.200000,0.000058
1101.210000,0.000057
1101.220000,0.000056
1101.230000,0.000056
1101.240000,0.000056
1101.250000,0.000056
1101.260000,0.000058
1101.270000,0.000059
1101.280000,0.000061
1101.290000,0.000064
1101.300000,0.000068
1101.310000,0.000071
1101.320000,0.000076
1101.330000,0.000083
1101.340000,0.000091
1101.350000,0.000103
1101.360000,0.000121
1101.370000,0.000150
1101.380000,0.000190
1101.390000,0.000211
1101.400000,0.000208
1101.410000,0.000219
1101.420000,0.000249
1101.430000,0.000300
1101.440000,0.000377
1101.450000,0.000494
1101.460000,0.000680
1101.470000,0.000984
1101.480000,0.001497
1101.490000,0.002307
1101.500000,0.003165
1101.510000,0.003158
1101.520000,0.002295
1101.530000,0.001488
1101.540000,0.000979
1101.550000,0.000676
1101.560000,0.000490
1101.570000,0.000371
1101.580000,0.000292
1101.590000,0.000236
1101.600000,0.000197
1101.610000,0.000167
1101.620000,0.000145
1101.630000,0.000128
1101.640000,0.000114
1101.650000,0.000102
1101.660000,0.000093
1101.670000,0.000086
1101.680000,0.000081
1101.690000,0.000076
1101.700000,0.000073
1101.710000,0.000070
1101.720000,0.000068
1101.730000,0.000068
1101.740000,0.000069
1101.750000,0.000073
1101.760000,0.000084
1101.770000,0.000098
1101.780000,0.000095
1101.790000,0.000082
1101.800000,0.000075
1101.810000,0.000072
1101.820000,0.000072
1101.830000,0.000075
1101.840000,0.000079
1101.850000,0.000084
1101.860000,0.000092
1101.870000,0.000103
1101.880000,0.000117
1101.890000,0.000136
1101.900000,0.000163
1101.910000,0.000203
1101.920000,0.000263
1101.930000,0.000351
1101.940000,0.000469
1101.950000,0.000609
1101.960000,0.000806
1101.970000,0.001065
1101.980000,0.001216
1101.990000,0.001072
1102.000000,0.000785
1102.010000,0.000547
1102.020000,0.000389
1102.030000,0.000290
1102.040000,0.000226
1102.050000,0.000183
1102.060000,0.000154
1102.070000,0.000134
1102.080000,0.000119
1102.090000,0.000109
1102.100000,0.000101
1102.110000,0.000096
1102.120000,0.000093
1102.130000,0.000091
1102.140000,0.000091
1102.150000,0.000094
1102.160000,0.000099
1102.170000,0.000111
1102.180000,0.000131
1102.190000,0.000152
1102.200000,0.000142
1102.210000,0.000127
1102.220000,0.000122
1102.230000,0.000125
1102.240000,0.000132
1102.250000,0.000143
1102.260000,0.000158
1102.270000,0.000180
1102.280000,0.000209
1102.290000,0.000244
1102.300000,0.000275
1102.310000,0.000296
1102.320000,0.000316
1102.330000,0.000351
1102.340000,0.000406
1102.350000,0.000486
1102.360000,0.000603
1102.370000,0.000774
1102.380000,0.001032
1102.390000,0.001436
1102.400000,0.002067
1102.410000,0.002954
1102.420000,0.003760
1102.430000,0.003862
1102.440000,0.003545
1102.450000,0.003530
1102.460000,0.003860
1102.470000,0.003832
1102.480000,0.003063
1102.490000,0.002154
1102.500000,0.001493
1102.510000,0.001067
1102.520000,0.000794
1102.530000,0.000614
1102.540000,0.000488
1102.550000,0.000396
1102.560000,0.000328
1102.570000,0.000277
1102.580000,0.000237
1102.590000,0.000206
1102.600000,0.000181
1102.610000,0.000160
1102.620000,0.000144
1102.630000,0.000129
1102.640000,0.000117
1102.650000,0.000107
1102.660000,0.000098
1102.670000,0.000091
1102.680000,0.000084
1102.690000,0.000079
1102.700000,0.000073
1102.710000,0.000069
1102.720000,0.000065
1102.730000,0.000062
1102.740000,0.000060
1102.750000,0.000058
1102.760000,0.000054
1102.770000,0.000051
1102.780000,0.000049
1102.790000,0.000047
1102.800000,0.000045
1102.810000,0.000043
1102.820000,0.000042
1102.830000,0.000041
1102.840000,0.000040
1102.850000,0.000040
1102.860000,0.000039
1102.870000,0.000040
1102.880000,0.000039
1102.890000,0.000039
1102.900000,0.000038
1102.910000,0.000038
1102.920000,0.000040
1102.930000,0.000042
1102.940000,0.000045
1102.950000,0.000050
1102.960000,0.000061
1102.970000,0.000080
1102.980000,0.000107
1102.990000,0.000125
1103.000000,0.000125
1103.010000,0.000120
1103.020000,0.000124
1103.030000,0.000125
1103.040000,0.000121
1103.050000,0.000110
1103.060000,0.000090
1103.070000,0.000070
1103.080000,0.000056
1103.090000,0.000047
1103.100000,0.000041
1103.110000,0.000038
1103.120000,0.000035
1103.130000,0.000034
1103.140000,0.000034
1103.150000,0.000033
1103.160000,0.000032
1103.170000,0.000033
1103.180000,0.000035
1103.190000,0.000042
1103.200000,0.000056
1103.210000,0.000065
1103.220000,0.000050
1103.230000,0.000038
1103.240000,0.000033
1103.250000,0.000031
1103.260000,0.000029
1103.270000,0.000028
1103.280000,0.000028
1103.290000,0.000027
1103.300000,0.000027
1103.310000,0.000027
1103.320000,0.000028
1103.330000,0.000029
1103.340000,0.000030
1103.350000,0.000032
1103.360000,0.000036
1103.370000,0.000042
1103.380000,0.000052
1103.390000,0.000062
1103.400000,0.000057
1103.410000,0.000046
1103.420000,0.000041
1103.430000,0.000039
1103.440000,0.000039
1103.450000,0.000037
1103.460000,0.000036
1103.470000,0.000037
1103.480000,0.000038
1103.490000,0.000039
1103.500000,0.000038
1103.510000,0.000039
1103.520000,0.000042
1103.530000,0.000043
1103.540000,0.000043
1103.550000,0.000043
1103.560000,0.000045
1103.570000,0.000048
1103.580000,0.000051
1103.590000,0.000056
1103.600000,0.000063
1103.610000,0.000074
1103.620000,0.000092
1103.630000,0.000107
1103.640000,0.000101
1103.650000,0.000091
1103.660000,0.000089
1103.670000,0.000092
1103.680000,0.000099
1103.690000,0.000111
1103.700000,0.000130
1103.710000,0.000161
1103.720000,0.000204
1103.730000,0.000232
1103.740000,0.000229
1103.750000,0.000233
1103.760000,0.000256
1103.770000,0.000300
1103.780000,0.000365
1103.790000,0.000466
1103.800000,0.000630
1103.810000,0.000911
1103.820000,0.001413
1103.830000,0.002118
1103.840000,0.002467
1103.850000,0.002398
1103.860000,0.001964
1103.870000,0.001425
1103.880000,0.001030
1103.890000,0.000799
1103.900000,0.000693
1103.910000,0.000688
1103.920000,0.000791
1103.930000,0.001063
1103.940000,0.001441
1103.950000,0.001404
1103.960000,0.000988
1103.970000,0.000691
1103.980000,0.000562
1103.990000,0.000557
1104.000000,0.000680
1104.010000,0.000933
1104.020000,0.001015
1104.030000,0.000765
1104.040000,0.000579
1104.050000,0.000534
1104.060000,0.000585
1104.070000,0.000627
1104.080000,0.000575
1104.090000,0.000578
1104.100000,0.000717
1104.110000,0.000908
1104.120000,0.000826
1104.130000,0.000580
1104.140000,0.000422
1104.150000,0.000353
1104.160000,0.000341
1104.170000,0.000381
1104.180000,0.000492
1104.190000,0.000739
1104.200000,0.001208
1104.210000,0.001573
1104.220000,0.001316
1104.230000,0.000865
1104.240000,0.000545
1104.250000,0.000371
1104.260000,0.000279
1104.270000,0.000229
1104.280000,0.000200
1104.290000,0.000185
1104.300000,0.000180
1104.310000,0.000185
1104.320000,0.000201
1104.330000,0.000234
1104.340000,0.000296
1104.350000,0.000417
1104.360000,0.000651
1104.370000,0.000978
1104.380000,0.000975
1104.390000,0.000660
1104.400000,0.000445
1104.410000,0.000346
1104.420000,0.000312
1104.430000,0.000313
1104.440000,0.000324
1104.450000,0.000313
1104.460000,0.000310
1104.470000,0.000332
1104.480000,0.000381
1104.490000,0.000460
1104.500000,0.000586
1104.510000,0.000780
1104.520000,0.001096
1104.530000,0.001666
1104.540000,0.002740
1104.550000,0.004531
1104.560000,0.005780
1104.570000,0.004489
1104.580000,0.002706
1104.590000,0.001644
1104.600000,0.001075
1104.610000,0.000757
1104.620000,0.000566
1104.630000,0.000446
1104.640000,0.000367
1104.650000,0.000315
1104.660000,0.000282
1104.670000,0.000264
1104.680000,0.000265
1104.690000,0.000290
1104.700000,0.000349
1104.710000,0.000415
1104.720000,0.000386
1104.730000,0.000309
1104.740000,0.000270
1104.750000,0.000274
1104.760000,0.000324
1104.770000,0.000416
1104.780000,0.000446
1104.790000,0.000352
1104.800000,0.000265
1104.810000,0.000217
1104.820000,0.000195
1104.830000,0.000186
1104.840000,0.000182
1104.850000,0.000182
1104.860000,0.000187
1104.870000,0.000195
1104.880000,0.000204
1104.890000,0.000220
1104.900000,0.000244
1104.910000,0.000282
1104.920000,0.000345
1104.930000,0.000451
1104.940000,0.000593
1104.950000,0.000652
1104.960000,0.000609
1104.970000,0.000610
1104.980000,0.000689
1104.990000,0.000855
1105.000000,0.001137
1105.010000,0.001581
1105.020000,0.002166
1105.030000,0.002578
1105.040000,0.002420
1105.050000,0.001955
1105.060000,0.001609
1105.070000,0.001492
1105.080000,0.001613
1105.090000,0.002031
1105.100000,0.002847
1105.110000,0.003919
1105.120000,0.004475
1105.130000,0.004030
1105.140000,0.002827
1105.150000,0.001830
1105.160000,0.001256
1105.170000,0.000936
1105.180000,0.000753
1105.190000,0.000649
1105.200000,0.000598
1105.210000,0.000594
1105.220000,0.000647
1105.230000,0.000772
1105.240000,0.000886
1105.250000,0.000822
1105.260000,0.000726
1105.270000,0.000713
1105.280000,0.000791
1105.290000,0.000985
1105.300000,0.001396
1105.310000,0.002259
1105.320000,0.003554
1105.330000,0.003413
1105.340000,0.002236
1105.350000,0.001605
1105.360000,0.001401
1105.370000,0.001432
1105.380000,0.001645
1105.390000,0.002074
1105.400000,0.002838
1105.410000,0.004210
1105.420000,0.006476
1105.430000,0.008858
1105.440000,0.009881
1105.450000,0.009122
1105.460000,0.006900
1105.470000,0.005197
1105.480000,0.005157
1105.490000,0.005701
1105.500000,0.003354
1105.510000,0.002078
1105.520000,0.001568
1105.530000,0.001354
1105.540000,0.001308
1105.550000,0.001422
1105.560000,0.001760
1105.570000,0.002373
1105.580000,0.002781
1105.590000,0.002393
1105.600000,0.001962
1105.610000,0.001870
1105.620000,0.002096
1105.630000,0.002690
1105.640000,0.003882
1105.650000,0.006170
1105.660000,0.009903
1105.670000,0.012273
1105.680000,0.009522
1105.690000,0.005933
1105.700000,0.003787
1105.710000,0.002500
1105.720000,0.001726
1105.730000,0.001264
1105.740000,0.000973
1105.750000,0.000777
1105.760000,0.000641
1105.770000,0.000544
1105.780000,0.000471
1105.790000,0.000411
1105.800000,0.000363
1105.810000,0.000326
1105.820000,0.000297
1105.830000,0.000273
1105.840000,0.000251
1105.850000,0.000231
1105.860000,0.000215
1105.870000,0.000202
1105.880000,0.000192
1105.890000,0.000184
1105.900000,0.000177
1105.910000,0.000172
1105.920000,0.000169
1105.930000,0.000168
1105.940000,0.000168
1105.950000,0.000169
1105.960000,0.000171
1105.970000,0.000176
1105.980000,0.000183
1105.990000,0.000194
1106.000000,0.000208
1106.010000,0.000225
1106.020000,0.000250
1106.030000,0.000283
1106.040000,0.000329
1106.050000,0.000393
1106.060000,0.000486
